match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5432856317,4553717730,FALSE,5/24/2020 12:32,2596,4623,3,0,3,80,4,236,"48,74,39,107,45","102,10,28,5,76"
5432856506,4553705666,TRUE,5/24/2020 12:32,1921,4729,3,7,22,80,7,154,"2,3,74,41,106","126,56,93,120,85"
5432858602,4553684037,FALSE,5/24/2020 12:33,1040,5393,4,7,22,80,8,136,"112,2,3,39,32","10,110,75,114,38"
5432858916,4553702660,FALSE,5/24/2020 12:34,1909,4981,8,7,22,80,9,132,"7,51,120,90,41","100,83,33,106,89"
5432863204,4553682738,TRUE,5/24/2020 12:36,917,5320,2,7,22,80,3,135,"61,105,28,80,5","46,86,33,94,55"
5432867115,4553719791,TRUE,5/24/2020 12:38,2158,5256,2,7,22,80,5,135,"65,80,84,110,72","42,112,120,39,22"
5432867212,4553731147,FALSE,5/24/2020 12:38,2723,5175,3,7,22,80,3,132,"114,104,111,52,51","25,11,49,37,8"
5432869613,4553722970,FALSE,5/24/2020 12:40,2353,6118,6,7,3,80,7,227,"83,39,87,104,12","106,23,30,129,9"
5432870017,4553722338,TRUE,5/24/2020 12:40,2272,7454,8,7,22,80,8,154,"17,27,70,129,83","19,40,5,11,106"
5432871007,4553740383,TRUE,5/24/2020 12:41,2997,5190,4,7,22,80,5,131,"11,3,12,33,62","9,106,6,49,30"
5432874301,4553735434,TRUE,5/24/2020 12:42,2607,4179,3,7,22,80,7,155,"8,88,76,108,119","111,106,40,48,114"
5432875418,4553712405,FALSE,5/24/2020 12:43,1776,5413,3,7,22,80,6,131,"67,32,126,56,26","7,106,33,12,64"
5432875600,4553737912,TRUE,5/24/2020 12:43,2742,4905,4,7,22,80,6,154,"48,49,45,112,128","7,105,77,53,32"
5432881904,4553713204,TRUE,5/24/2020 12:46,1463,5010,3,7,22,80,5,251,"48,45,121,53,101","64,49,106,9,18"
5432883312,4553744064,FALSE,5/24/2020 12:47,2619,4432,3,7,22,80,5,182,"39,2,48,5,86","126,19,129,111,91"
5432889516,4553751205,FALSE,5/24/2020 12:50,2805,5120,7,7,3,80,9,236,"114,49,129,75,9","93,53,86,31,60"
5432891412,4553740721,FALSE,5/24/2020 12:51,2268,5339,6,7,22,80,6,138,"56,86,106,104,90","64,17,126,87,95"
5432902604,4553728899,TRUE,5/24/2020 12:57,1552,4579,4,7,22,80,7,132,"1,87,85,71,61","69,120,54,14,84"
5432905606,4553736926,TRUE,5/24/2020 12:58,1763,5078,7,7,22,80,8,134,"3,12,9,126,53","1,25,27,16,45"
5432910519,4553731575,FALSE,5/24/2020 13:01,1197,5089,3,7,22,80,4,132,"93,99,55,105,84","80,14,62,119,61"
5432915108,4553769613,FALSE,5/24/2020 13:03,2745,4668,8,7,3,80,9,227,"15,110,32,75,22","119,109,126,120,35"
5432916219,4553770761,FALSE,5/24/2020 13:04,2783,7089,2,7,22,80,4,156,"12,53,65,120,30","17,19,98,112,41"
5432917219,4553732978,TRUE,5/24/2020 13:04,1262,7602,5,7,22,80,5,131,"66,84,100,48,15","56,120,46,72,58"
5432918312,4553763703,TRUE,5/24/2020 13:05,2435,4990,8,7,3,80,10,236,"16,50,42,30,106","92,109,26,71,96"
5432940804,4553797214,TRUE,5/24/2020 13:15,3072,5252,6,7,22,80,9,227,"86,1,87,35,106","120,22,62,64,70"
5432946114,4553780434,TRUE,5/24/2020 13:18,2048,3801,3,7,22,80,3,133,"10,111,65,46,121","39,104,107,58,93"
5432946510,4553764633,FALSE,5/24/2020 13:18,1656,5205,8,7,3,80,8,223,"86,42,45,77,36","88,46,106,119,129"
5432948301,4553777493,FALSE,5/24/2020 13:19,2072,6606,5,7,3,80,7,236,"31,93,25,86,126","40,21,36,107,106"
5432952704,4553792647,TRUE,5/24/2020 13:21,2408,4703,5,7,22,80,6,191,"100,119,43,39,72","11,8,129,26,71"
